state,year,ekey,next_ekey,ac,AC_TYPE,party,cand,share,margin,won,party_wins_next,cand_wins_next,ran_again
Karnataka,1957,1957.06,1962.06,KOLAR GOLD FIELDS,SC,SCF,C M ARUMUGHAM SC,0.2677734856579272,-0.005821758307991531,0,0,0,0
Karnataka,1957,1957.06,1962.06,BANGARPET,GEN,IND,E NARAYANA GOWDA,0.5604244694132334,0.12084893882646691,1,1,1,1
Karnataka,1957,1957.06,1962.06,BANGARPET,GEN,INC,D VENKATARAMAIAH,0.4395755305867665,-0.12084893882646691,0,0,0,0
Karnataka,1957,1957.06,1962.06,MALUR,GEN,INC,H C LINGA REDDY,0.5543225533713803,0.10864510674276051,1,0,0,1
Karnataka,1957,1957.06,1962.06,MALUR,GEN,IND,M A KRISHNAPPA,0.44567744662861974,-0.10864510674276051,0,1,0,0
Karnataka,1957,1957.06,1962.06,MALLESHWARAM,GEN,IND,PARTHASARATHY T,0.42800356940050294,0.06838646872718418,1,1,0,0
Karnataka,1957,1957.06,1962.06,MALLESHWARAM,GEN,INC,KUMARAN K S,0.35961710067331876,-0.06838646872718418,0,0,0,0
Karnataka,1957,1957.06,1962.06,GANDHI NAGAR,GEN,INC,NAGARATHNAMMA,0.6280774756031109,0.40114925447069893,1,1,0,0
Karnataka,1957,1957.06,1962.06,GANDHI NAGAR,GEN,IND,J LINGAIAH,0.22692822113241196,-0.40114925447069893,0,0,0,0
Karnataka,1957,1957.06,1962.06,CHICKPET,GEN,IND,G E HOOVER,0.5174835477850899,0.03496709557017974,1,0,0,1
Karnataka,1957,1957.06,1962.06,CHICKPET,GEN,INC,R ANANTHARAMAN,0.48251645221491013,-0.03496709557017974,0,1,0,0
Karnataka,1957,1957.06,1962.06,CHAMARAJPET,GEN,INC,LAKSHMIDEVI RAMANNA,0.49451134322400375,0.1421728427915641,1,1,0,0
Karnataka,1957,1957.06,1962.06,CHAMARAJPET,GEN,IND,M RANGAIAH NAIDU,0.35233850043243964,-0.1421728427915641,0,0,0,1
Karnataka,1957,1957.06,1962.06,BASAVANAGUDI,GEN,INC,L S VENKAJI RAO,0.5851069591118332,0.33669103709721093,1,1,0,0
Karnataka,1957,1957.06,1962.06,BASAVANAGUDI,GEN,IND,LAKSHNINARAYANA GUPTA C S,0.24841592201462226,-0.33669103709721093,0,0,0,0
Karnataka,1957,1957.06,1962.06,CUBBONPET,GEN,INC,V P DEENADAYALU NAIDU,0.5194608347317707,0.03892166946354142,1,0,0,0
Karnataka,1957,1957.06,1962.06,CUBBONPET,GEN,IND,B NANJAPPA,0.4805391652682293,-0.03892166946354142,0,1,1,1
Karnataka,1957,1957.06,1962.06,ULSOOR,GEN,INC,GRACE TUCKER,0.4866110147441457,0.213031222896791,1,1,1,1
Karnataka,1957,1957.06,1962.06,ULSOOR,GEN,IND,K KANNAN,0.2735797918473547,-0.213031222896791,0,0,0,1
Karnataka,1957,1957.06,1962.06,BROADWAY,GEN,INC,MOHAMMAD SHARIFF,0.5130230213409511,0.119867809331765,1,1,0,0
Karnataka,1957,1957.06,1962.06,BROADWAY,GEN,IND,HAMEED SHAH,0.39315521200918613,-0.119867809331765,0,0,0,0
Karnataka,1957,1957.06,1962.06,HOSAKOTE,SC,INC,S R RAMAIAH SC,0.3013264577055699,0.051266917254305044,1,0,0,0
Karnataka,1957,1957.06,1962.06,HOSAKOTE,SC,INC,RUKMANIAMMA SC,0.25005954045126483,-0.051266917254305044,0,0,0,0
Karnataka,1957,1957.06,1962.06,DODDABALLAPUR,GEN,INC,T SIDDALINGAIYA,0.6455141426045964,0.4214422510312316,1,0,0,0
Karnataka,1957,1957.06,1962.06,DODDABALLAPUR,GEN,BJS,T C GANGADHARAPPA,0.22407189157336477,-0.4214422510312316,0,0,0,0
Karnataka,1957,1957.06,1962.06,NELAMANGALA,SC,INC,ALUR HANUMANTHAPPA,0.4298806292502116,0.124930683244316,1,1,0,0
Karnataka,1957,1957.06,1962.06,NELAMANGALA,SC,INC,LOKESVANIRATHA M HANUMANTHAIAH SC,0.3049499460058956,-0.124930683244316,0,1,0,0
Karnataka,1957,1957.06,1962.06,MAGADI,GEN,PSP,B SINGRI GOWDA,0.5572600661886377,0.11452013237727526,1,1,0,0
Karnataka,1957,1957.06,1962.06,MAGADI,GEN,INC,T D MARANNA,0.4427399338113624,-0.11452013237727526,0,0,0,0
Karnataka,1957,1957.06,1962.06,RAMANAGARAM,GEN,INC,K HANUMATHAIYA,0.6365550064067362,0.27311001281347247,1,1,0,0
Karnataka,1957,1957.06,1962.06,RAMANAGARAM,GEN,IND,B T RAMAIAH,0.36344499359326377,-0.27311001281347247,0,0,0,0
Karnataka,1957,1957.06,1962.06,CHANNAPATNA,GEN,PSP,B K PUTTARAMAIAH,0.511934594662323,0.11564966796140835,1,0,0,1
Karnataka,1957,1957.06,1962.06,CHANNAPATNA,GEN,INC,B J LINGE GOWDA,0.3962849267009147,-0.11564966796140835,0,1,1,1
Karnataka,1957,1957.06,1962.06,VIRUPAKSHIPURA,GEN,INC,S KARIAPPA,0.5840594470219909,0.16811889404398173,1,1,0,0
Karnataka,1957,1957.06,1962.06,VIRUPAKSHIPURA,GEN,PSP,B L CHANNE GOWDA,0.41594055297800914,-0.16811889404398173,0,0,0,0
